sample_id,generated_text,discriminator_realism_score
0,"framework hel hel hel , , hel hel , hel , hel hel hel hel hel , hel hel hel , hel , of hel hel hel hel hel hel",0.0007172422483563423
1,"paris . , hel hel , , , hel m hel hel hel hel hel hel , hel hel hel hel , hel hel hel hel hel hel , hel",0.0001559546944918111
2,"some an acquired hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel , hel hel hel hel with hel hel hel hel hel hel",0.001063222181983292
3,"growing - hel hel , hel the - operational hel , hel hel hel hel hel , , , hel hel hel hel hel hel , hel hel hel hel",0.0006159741897135973
4,"activities :7327 hel ) , hel hel hel hel hel hel hel hel hel hel the hel hel hel hel , , , hel hel hel hel hel hel hel",0.00031257918453775346
5,"ixonos also the and hel hel to hel hel , , hel hel , hel , hel hel hel hel hel hel hel hel hel hel hel , hel hel",0.00027577296714298427
6,"four to hel hel hel hel hel hel hel hel hel , , market hel hel hel hel hel hel hel hel hel hel , , hel hel hel hel",0.0005678499001078308
7,"price finnish hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel hel , hel hel",0.0014829722931608558
8,"80 yesterday hel , hel hel hel hel hel hel hel hel , hel hel hel , hel hel the hel hel , hel also , hel hel , ,",0.00038473965832963586
9,"heart downtown , hel ) hel the hel hel hel hel the hel , hel hel hel online hel hel hel hel hel hel hel hel hel , hel hel",0.0003292007022537291
